Configuration	Term	J	Level (Ry)	Uncertainty (Ry)	Reference
"2s2.2p6"	"1S"	"0"	" 0.000000000"	"0.0000004"	"L8826"
"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"2"	" 1.221479122"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3s"	"2[3/2]*"	"1"	" 1.225283180"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"0"	" 1.228557849"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<1/2>).3s"	"2[1/2]*"	"1"	" 1.238309106"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"1"	" 1.351024388"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"3"	" 1.363775287"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).3p"	"2[5/2]"	"2"	" 1.365298764"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"1"	" 1.368008606"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3p"	"2[3/2]"	"2"	" 1.369778915"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"1"	" 1.373936576"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<1/2>).3p"	"2[3/2]"	"2"	" 1.374723875"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3p"	"2[1/2]"	"0"	" 1.375260820"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"1"	" 1.376363650"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<1/2>).3p"	"2[1/2]"	"0"	" 1.393971885"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"2"	" 1.445279705"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).4s"	"2[3/2]*"	"1"	" 1.447055556"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"0"	" 1.452377366"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<1/2>).4s"	"2[1/2]*"	"1"	" 1.453786423"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"0"	" 1.471784046"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3d"	"2[1/2]*"	"1"	" 1.471916575"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"4"	" 1.472519536"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).3d"	"2[7/2]*"	"3"	" 1.472535746"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"2"	" 1.472673720"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3d"	"2[3/2]*"	"1"	" 1.472941237"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"2"	" 1.473515734"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).3d"	"2[5/2]*"	"3"	" 1.473532021"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"2"	" 1.479976547"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<1/2>).3d"	"2[5/2]*"	"3"	" 1.479990399"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"2"	" 1.480079778"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<1/2>).3d"	"2[3/2]*"	"1"	" 1.480222812"	"0.000000009"	"L8826c189"
"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"1"	" 1.480971851"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"3"	" 1.483822584"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4p"	"2[5/2]"	"2"	" 1.484445978"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"1"	" 1.485480337"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4p"	"2[3/2]"	"2"	" 1.485714803"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4p"	"2[1/2]"	"0"	" 1.489022263"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"1"	" 1.491354801"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"1"	" 1.491814567"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<1/2>).4p"	"2[3/2]"	"2"	" 1.491822557"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<1/2>).4p"	"2[1/2]"	"0"	" 1.497083159"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"2"	" 1.511137534"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).5s"	"2[3/2]*"	"1"	" 1.511908552"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"0"	" 1.518228653"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<1/2>).5s"	"2[1/2]*"	"1"	" 1.518685876"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"0"	" 1.521521409"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4d"	"2[1/2]*"	"1"	" 1.521591278"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4d"	"2[7/2]*"	"4"	" 1.521816263"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4d"	"2[7/2]*"	"3"	" 1.521826296"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"2"	" 1.521921356"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4d"	"2[3/2]*"	"1"	" 1.522061946"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4d"	"2[5/2]*"	"2"	" 1.522249812"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4d"	"2[5/2]*"	"3"	" 1.522259483"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4f"	"2[3/2]"	"1"	" 1.522295679"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4f"	"2[3/2]"	"2"	" 1.522295897"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4f"	"2[9/2]"	"4"	" 1.522365509"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4f"	"2[9/2]"	"5"	" 1.522365573"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4f"	"2[5/2]"	"3"	" 1.522445340"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4f"	"2[5/2]"	"2"	" 1.522445470"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4f"	"2[7/2]"	"3"	" 1.522517502"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).4f"	"2[7/2]"	"4"	" 1.522517555"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).5p"	"2[1/2]"	"1"	" 1.525911845"	"0.000000009"	"L8826"
"2s2.2p5.(2P*<3/2>).5p"	"2[5/2]"	"3"	" 1.526910534"	"0.000000009"	"L8826"
